model,accuracy,precision_spam,recall_spam,f1_spam
Logistic Regression,0.9757847533632287,0.8961038961038961,0.9261744966442953,0.9108910891089109
Naive Bayes,0.9704035874439462,1.0,0.7785234899328859,0.8754716981132076
