token,weight
ok,-2.316703994889529
ll,-2.0636721056144656
da,-1.834317064197659
home,-1.751208097801462
got,-1.7272072675351455
gt,-1.7215987915575925
lt,-1.7054166715551242
come,-1.6909761168019772
sorry,-1.5679545999669704
lor,-1.5624183421033873
hey,-1.536011966793224
good,-1.479859016288757
lt gt,-1.4726676050381715
later,-1.4399224594699622
way,-1.3303250581470556
