token,weight
txt,4.991906307392212
uk,4.152653978524806
mobile,4.047695436253231
claim,3.816820575779785
www,3.6796402033528475
free,3.6424388074473812
reply,3.482035906066253
stop,3.3281292029735305
150p,3.2256848945145165
service,3.189838415146386
text,3.04972193662059
com,2.9411842949869724
50,2.90671898579353
prize,2.8395111399874478
new,2.803597142062486
