model,cv_accuracy_mean,cv_accuracy_std,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
Logistic Regression,0.9583333333333334,0.026352313834736508,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332
Decision Tree,0.9416666666666667,0.020412414523193187,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332
K-Nearest Neighbors,0.9583333333333334,0.026352313834736508,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326
